OPCODE;MAINOUTITEMCODE;PRODQTY;REMAINQTY;PRODSTART;PRODEND;MAINRESOURCE;MASTEROPCODE;DEPARTMENT;PREVOPCODE;NEXTOPCODE
"MT00101222_1:10";"None";"1.000000000000";"None";"2015-05-25 18:00:00";"2015-05-26 00:00:00";"DefaultSalesResource";"None";"None";"I_108463:10";"None";
"W_1506980-10:10";"1506980-10";"1.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"W_2155141-40:10";"2155141-40";"4.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_001.00.00.0020:10";"001.00.00.0020";"181.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_012.01.01.1010:10";"012.01.01.1010";"1.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_012.03.00.0010G:10";"012.03.00.0010G";"21.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_012.04.00.0020B:10";"012.04.00.0020B";"3.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_012.04.01.0050A:10";"012.04.01.0050A";"1.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_012.05.02.0033F:10";"012.05.02.0033F";"20.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_012.12.01.0030:10";"012.12.01.0030";"1.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_012.18.01.0000F:10";"012.18.01.0000F";"1.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_012.25.01.0042:10";"012.25.01.0042";"2.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_014.05.00.0010:10";"014.05.00.0010";"32.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_015.00.00.0030:10";"015.00.00.0030";"3.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_015.02.00.0020:10";"015.02.00.0020";"1.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_015.06.00.0020:10";"015.06.00.0020";"1.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_015.10.01.0030:10";"015.10.01.0030";"3.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_017.01.00.1060A:10";"017.01.00.1060A";"1.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_030.06.00.3100A:10";"030.06.00.3100A";"14.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
